ID,Tower company,Structure Type,Radio frequency ,Birds affected,Death Rate(in %),Location,Total Towers(Present),Total Towers(before 5 years)
21658,Lyca Mobile,MTower,638,Sparrow,29,Ohio,698,266
21659,T-Mobile,GTower,427,Spotted Dove,71,Oklahoma,643,228
21660,AT&T,LTower,390,Bulbul,77,Oregon,277,103
21661,AT&T,MTower,597,Kite,64,Pennsylvania,477,52
21662,Mint Mobile,GTower,444,Sparrow,53,Rhode Island,565,80
21663,Lyca Mobile,LTower,882,Spotted Dove,21,South Carolina,317,125
21664,Verizon,GTower,775,Kite,80,South Dakota,129,189
21665,T-Mobile,LTower,797,Bulbul,68,Tennessee,326,190
21666,Lyca Mobile,MTower,640,Sparrow,59,Texas,292,89
21667,AT&T,LTower,388,Bulbul,49,Utah,853,167
21668,Mint Mobile,GTower,881,Kite,23,Vermont,305,259
21669,Verizon,GTower,493,Spotted Dove,32,Virginia,870,292
21670,Lyca Mobile,MTower,364,Sparrow,53,Washington,683,224
21671,T-Mobile,LTower,574,Sparrow,43,West Virginia,148,170
21672,AT&T,MTower,705,Bulbul,23,Wisconsin,242,208
21673,AT&T,GTower,643,Kite,21,Wyoming,223,167
21674,Mint Mobile,LTower,658,Bulbul,72,Montgomery,551,218
21675,Lyca Mobile,MTower,371,Sparrow,72,Juneau,724,102
21676,Verizon,GTower,465,Spotted Dove,58,Phoenix,846,264
21677,T-Mobile,LTower,863,Kite,32,Little Rock,192,294
21678,Lyca Mobile,GTower,524,Bulbul,54,Sacramento,670,234
21679,AT&T,LTower,480,Sparrow,61,Denver,900,201
21680,Mint Mobile,MTower,833,Spotted Dove,39,Hartford,419,292
21681,Verizon,LTower,353,Bulbul,42,Dover,124,80
21682,Lyca Mobile,GTower,519,Kite,26,Tallahassee,485,154
21683,T-Mobile,GTower,672,Sparrow,57,Atlanta,482,190
21684,AT&T,MTower,620,Spotted Dove,76,Honolulu,441,299
21685,AT&T,LTower,440,Kite,70,Boise,814,135
21686,Mint Mobile,MTower,756,Bulbul,50,Springfield,498,256
21687,Lyca Mobile,GTower,316,Sparrow,25,Indianapolis,629,160
21688,Verizon,LTower,387,Bulbul,70,Des Moines,375,181
21689,T-Mobile,MTower,862,Kite,44,Topeka,898,290
21690,Lyca Mobile,GTower,556,Spotted Dove,53,Frankfort,448,88
21691,AT&T,LTower,611,Sparrow,30,Baton Rouge,350,242
21692,Mint Mobile,GTower,483,Sparrow,76,Augusta,819,124
21693,Verizon,LTower,857,Bulbul,73,Annapolis,606,282
21694,Lyca Mobile,MTower,331,Kite,58,Boston,536,293
21695,T-Mobile,LTower,393,Bulbul,68,Lansing,122,242
21696,AT&T,GTower,625,Sparrow,40,St. Paul,488,150
21697,AT&T,GTower,639,Spotted Dove,22,Jackson,785,201
21698,Mint Mobile,MTower,693,Kite,52,Jefferson City,849,281
21699,Lyca Mobile,LTower,844,Bulbul,32,Helena,610,119
21700,Verizon,MTower,502,Sparrow,74,Lincoln,182,166
21701,T-Mobile,GTower,547,Spotted Dove,35,Carson City,892,197
21702,Lyca Mobile,LTower,485,Bulbul,37,Concord,815,164
21703,AT&T,MTower,580,Kite,27,Trenton,405,121
21704,Mint Mobile,GTower,636,Sparrow,72,Santa Fe,752,183
21705,Verizon,LTower,562,Spotted Dove,57,Albany,833,56
21706,Lyca Mobile,GTower,720,Kite,21,Raleigh,122,112
21707,T-Mobile,LTower,866,Bulbul,71,Bismarck,734,113
21708,AT&T,MTower,694,Sparrow,22,Columbus,622,248
21709,AT&T,LTower,504,Bulbul,54,Oklahoma City,383,146
21710,Mint Mobile,GTower,626,Kite,63,Salem,274,126
21711,Lyca Mobile,GTower,402,Spotted Dove,56,Harrisburg,621,241
21712,Verizon,MTower,596,Sparrow,30,Providence,349,260
21713,T-Mobile,LTower,525,Sparrow,56,Columbia,545,144
21714,Lyca Mobile,MTower,534,Bulbul,54,Pierre,452,89
21715,AT&T,GTower,627,Kite,72,Nashville,811,62
21716,Mint Mobile,LTower,872,Bulbul,62,Austin,676,64
21717,Verizon,MTower,329,Sparrow,35,Salt Lake City,790,277
21718,Lyca Mobile,GTower,888,Spotted Dove,62,Montpelier,858,287
21719,T-Mobile,LTower,822,Kite,73,Richmond,587,122
21720,AT&T,GTower,870,Bulbul,44,Olympia,310,69
21721,AT&T,LTower,334,Sparrow,47,Charleston,127,229
21722,Mint Mobile,MTower,825,Spotted Dove,64,Madison,306,186
21723,Lyca Mobile,LTower,451,Bulbul,78,Cheyenne,252,300
21724,Verizon,GTower,865,Kite,75,Alabama,580,226
21725,T-Mobile,GTower,543,Sparrow,45,Alaska,487,266
21726,Lyca Mobile,MTower,455,Spotted Dove,50,Arizona,693,269
21727,AT&T,LTower,835,Kite,53,Arkansas,301,211
21728,Mint Mobile,MTower,682,Bulbul,61,California,575,107
21729,Verizon,GTower,800,Sparrow,53,Colorado,257,75
21730,Lyca Mobile,LTower,416,Bulbul,51,Connecticut,879,153
21731,T-Mobile,MTower,767,Kite,77,Delaware,372,102
21732,AT&T,GTower,891,Spotted Dove,53,Florida,653,283
21733,AT&T,LTower,616,Sparrow,47,Georgia,365,264
21734,Mint Mobile,GTower,596,Sparrow,20,Hawaii,251,271
21735,Lyca Mobile,LTower,470,Bulbul,63,Idaho,359,85
21736,Verizon,MTower,527,Kite,22,Illinois,230,96
21737,T-Mobile,LTower,849,Bulbul,27,Indiana,433,108
21738,Lyca Mobile,GTower,753,Sparrow,20,Iowa,506,222
21739,AT&T,GTower,560,Spotted Dove,38,Kansas,614,211
21740,Mint Mobile,MTower,714,Kite,41,Kentucky,372,240
21741,Verizon,LTower,331,Bulbul,42,Louisiana,363,147
21742,Lyca Mobile,MTower,515,Sparrow,50,Maine,766,58
21743,T-Mobile,GTower,893,Spotted Dove,39,Maryland,287,256
21744,AT&T,LTower,486,Bulbul,72,Massachusetts,465,178
21745,AT&T,MTower,460,Kite,56,Michigan,300,113
21746,Mint Mobile,GTower,405,Sparrow,47,Minnesota,690,126
21747,Lyca Mobile,LTower,606,Spotted Dove,79,Mississippi,442,171
21748,Verizon,GTower,865,Kite,68,Missouri,368,108
21749,T-Mobile,LTower,325,Bulbul,56,Montana,300,84
21750,Lyca Mobile,MTower,866,Sparrow,22,Nebraska,638,202
21751,AT&T,LTower,334,Bulbul,24,Nevada,659,299
21752,Mint Mobile,GTower,507,Kite,55,New Hampshire,311,239
21753,Verizon,GTower,307,Spotted Dove,71,New Jersey,679,122
21754,Lyca Mobile,MTower,316,Sparrow,58,New Mexico,428,222
21755,T-Mobile,LTower,642,Sparrow,73,New York,168,198
21756,AT&T,MTower,555,Bulbul,72,North Carolina,630,199
21757,AT&T,GTower,715,Kite,46,North Dakota,542,295
21758,Mint Mobile,LTower,865,Bulbul,62,Ohio,374,50
21759,Lyca Mobile,MTower,599,Sparrow,41,Oklahoma,127,136
21760,Verizon,GTower,512,Spotted Dove,22,Vermont,469,196
21761,T-Mobile,LTower,455,Kite,41,Virginia,441,260
21762,Lyca Mobile,GTower,621,Bulbul,60,Washington,377,287
21763,AT&T,LTower,361,Sparrow,77,West Virginia,151,223
21764,Mint Mobile,MTower,475,Spotted Dove,51,Wisconsin,492,125
21765,Verizon,LTower,860,Bulbul,22,Wyoming,431,101
21766,Lyca Mobile,GTower,668,Kite,29,Montgomery,611,215
21767,T-Mobile,GTower,483,Sparrow,36,Juneau,732,256
21768,AT&T,MTower,691,Spotted Dove,53,Phoenix,170,148
21769,AT&T,LTower,354,Kite,55,Little Rock,231,294
21770,Mint Mobile,MTower,560,Bulbul,37,Sacramento,283,229
21771,Lyca Mobile,GTower,618,Sparrow,61,Denver,454,115
21772,Verizon,LTower,803,Bulbul,25,Hartford,652,190
21773,T-Mobile,MTower,498,Kite,63,Dover,636,75
21774,Lyca Mobile,GTower,650,Spotted Dove,57,Tallahassee,649,236
21775,AT&T,LTower,513,Sparrow,25,Atlanta,524,247
21776,Mint Mobile,GTower,470,Sparrow,68,Honolulu,899,167
21777,Verizon,LTower,715,Bulbul,44,Boise,110,210
21778,Lyca Mobile,MTower,795,Kite,49,Springfield,742,161
21779,T-Mobile,LTower,529,Bulbul,26,Indianapolis,326,238
21780,AT&T,GTower,772,Sparrow,38,Des Moines,854,175
21781,AT&T,GTower,368,Spotted Dove,75,Topeka,231,99
21782,Mint Mobile,MTower,772,Kite,65,Frankfort,337,296
21783,Lyca Mobile,LTower,537,Bulbul,54,Baton Rouge,672,81
21784,Verizon,MTower,337,Sparrow,20,Augusta,417,51
21785,T-Mobile,GTower,685,Spotted Dove,38,Annapolis,795,146
21786,Lyca Mobile,LTower,589,Bulbul,23,Boston,474,260
21787,AT&T,MTower,300,Kite,27,Lansing,790,65
21788,Mint Mobile,GTower,357,Sparrow,55,St. Paul,293,217
21789,Verizon,LTower,546,Spotted Dove,32,Jackson,830,117
21790,Lyca Mobile,GTower,369,Kite,69,Jefferson City,256,163
21791,T-Mobile,LTower,860,Bulbul,69,Helena,817,209
21792,AT&T,MTower,482,Sparrow,77,Lincoln,634,247
21793,AT&T,LTower,541,Bulbul,46,Carson City,825,280
21794,Mint Mobile,GTower,728,Kite,34,Concord,727,263
21795,Lyca Mobile,GTower,626,Spotted Dove,70,Trenton,577,188
21796,Verizon,MTower,800,Sparrow,39,Santa Fe,888,58
21797,T-Mobile,LTower,548,Sparrow,20,Albany,173,223
21798,Lyca Mobile,MTower,677,Bulbul,76,Raleigh,691,234
21799,AT&T,GTower,563,Kite,49,Bismarck,452,57
21800,Mint Mobile,LTower,342,Bulbul,45,Columbus,339,210
21801,Verizon,MTower,547,Sparrow,20,Oklahoma City,276,80
21802,Lyca Mobile,GTower,701,Spotted Dove,22,Salem,297,103
21803,T-Mobile,LTower,544,Kite,79,Harrisburg,698,53
21804,AT&T,GTower,423,Bulbul,49,Providence,492,299
21805,AT&T,LTower,367,Sparrow,70,Columbia,678,156
21806,Mint Mobile,MTower,604,Spotted Dove,53,Pierre,456,229
21807,Lyca Mobile,LTower,613,Bulbul,60,Nashville,205,121
21808,Verizon,GTower,646,Kite,78,Austin,481,212
21809,T-Mobile,GTower,897,Sparrow,38,Salt Lake City,900,300
21810,Lyca Mobile,MTower,452,Spotted Dove,38,Montpelier,764,205
21811,AT&T,LTower,862,Kite,37,Richmond,647,239
21812,Mint Mobile,MTower,446,Bulbul,26,Olympia,241,153
21813,Verizon,GTower,445,Sparrow,28,Charleston,422,234
21814,Lyca Mobile,LTower,792,Bulbul,78,Madison,666,66
21815,T-Mobile,MTower,450,Kite,34,Cheyenne,310,198
21816,AT&T,GTower,777,Spotted Dove,54,Alabama,285,178
21817,AT&T,LTower,520,Sparrow,56,Alaska,542,213
21818,Mint Mobile,GTower,395,Sparrow,43,Arizona,117,120
21819,Lyca Mobile,LTower,737,Bulbul,79,Arkansas,664,159
21820,Verizon,MTower,804,Kite,20,California,140,171
21821,T-Mobile,LTower,363,Bulbul,39,Colorado,166,111
21822,Lyca Mobile,GTower,520,Sparrow,41,Connecticut,591,271
21823,AT&T,GTower,610,Spotted Dove,41,Delaware,233,231
21824,Mint Mobile,MTower,826,Kite,26,Florida,201,234
21825,Verizon,LTower,817,Bulbul,57,Georgia,573,193
21826,Lyca Mobile,MTower,623,Sparrow,63,Hawaii,787,197
21827,T-Mobile,GTower,541,Spotted Dove,47,Idaho,624,109
21828,AT&T,LTower,748,Bulbul,51,Illinois,450,64
21829,AT&T,MTower,756,Kite,60,Indiana,172,169
21830,Mint Mobile,GTower,688,Sparrow,77,Iowa,456,248
21831,Lyca Mobile,LTower,806,Spotted Dove,57,Kansas,411,94
21832,Verizon,GTower,841,Kite,74,Kentucky,155,214
21833,T-Mobile,LTower,705,Bulbul,34,Louisiana,165,93
21834,Lyca Mobile,MTower,820,Sparrow,26,Maine,310,173
21835,AT&T,LTower,371,Bulbul,70,Maryland,217,242
21836,Mint Mobile,GTower,579,Kite,72,Massachusetts,652,152
21837,Verizon,GTower,813,Spotted Dove,27,Michigan,391,256
21838,Lyca Mobile,MTower,595,Sparrow,67,Minnesota,536,177
21839,T-Mobile,LTower,872,Sparrow,22,Mississippi,559,100
21840,AT&T,MTower,478,Bulbul,42,Missouri,545,67
21841,AT&T,GTower,697,Kite,40,Montana,119,133
21842,Mint Mobile,LTower,644,Bulbul,20,Nebraska,411,225
21843,Lyca Mobile,MTower,677,Sparrow,69,Nevada,207,51
21844,Verizon,GTower,807,Spotted Dove,48,New Hampshire,788,142
21845,T-Mobile,LTower,636,Kite,63,New Jersey,557,160
21846,Lyca Mobile,GTower,588,Bulbul,33,New Mexico,531,208
21847,AT&T,LTower,663,Sparrow,35,New York,285,270
21848,Mint Mobile,MTower,601,Spotted Dove,30,North Carolina,423,76
21849,Verizon,LTower,547,Bulbul,49,North Dakota,433,193
21850,Lyca Mobile,GTower,585,Kite,76,Ohio,303,141
21851,T-Mobile,GTower,370,Sparrow,59,Oklahoma,565,170
21852,AT&T,MTower,684,Spotted Dove,68,Oregon,626,235
21853,AT&T,LTower,768,Kite,53,Pennsylvania,307,256
21854,Mint Mobile,MTower,492,Bulbul,80,Rhode Island,460,167
21855,Lyca Mobile,GTower,670,Sparrow,31,South Carolina,680,54
21856,Verizon,LTower,308,Bulbul,74,South Dakota,602,294
21857,T-Mobile,MTower,635,Kite,63,Tennessee,143,284
21858,Lyca Mobile,GTower,527,Spotted Dove,60,Texas,126,118
21859,AT&T,LTower,386,Sparrow,75,Utah,560,130
21860,Mint Mobile,GTower,340,Sparrow,67,Vermont,230,188
21861,Verizon,LTower,849,Bulbul,75,Virginia,533,246
21862,Lyca Mobile,MTower,676,Kite,74,Washington,112,146
21863,T-Mobile,LTower,826,Bulbul,27,West Virginia,721,80
21864,AT&T,GTower,609,Sparrow,53,Wisconsin,850,271
21865,AT&T,GTower,343,Spotted Dove,64,Wyoming,637,108
21866,Mint Mobile,MTower,403,Kite,72,Montgomery,193,157
21867,Lyca Mobile,LTower,353,Bulbul,34,Juneau,105,187
21868,Verizon,MTower,495,Sparrow,31,Phoenix,790,165
21869,T-Mobile,GTower,468,Spotted Dove,79,Little Rock,694,296
21870,Lyca Mobile,LTower,301,Bulbul,71,Sacramento,624,257
21871,AT&T,MTower,634,Kite,21,Denver,564,291
21872,Mint Mobile,GTower,832,Sparrow,57,Hartford,441,133
21873,Verizon,LTower,499,Spotted Dove,73,Dover,760,207
21874,Lyca Mobile,GTower,705,Kite,36,Tallahassee,275,157
21875,T-Mobile,LTower,476,Bulbul,27,Atlanta,706,90
21876,AT&T,MTower,780,Sparrow,30,Honolulu,530,244
21877,AT&T,LTower,877,Bulbul,44,Boise,638,270
21878,Mint Mobile,GTower,645,Kite,53,Springfield,723,60
21879,Lyca Mobile,GTower,446,Spotted Dove,41,Indianapolis,300,237
21880,Verizon,MTower,309,Sparrow,25,Des Moines,285,60
21881,T-Mobile,LTower,459,Sparrow,38,Topeka,349,75
21882,Lyca Mobile,MTower,365,Bulbul,23,Frankfort,642,85
21883,AT&T,GTower,630,Kite,51,Baton Rouge,340,91
21884,Mint Mobile,LTower,492,Bulbul,30,Augusta,107,144
21885,Verizon,MTower,349,Sparrow,80,Annapolis,721,148
21886,Lyca Mobile,GTower,488,Spotted Dove,34,Boston,355,196
21887,T-Mobile,LTower,774,Kite,60,Lansing,444,173
21888,AT&T,GTower,474,Bulbul,37,St. Paul,587,285
21889,AT&T,LTower,650,Sparrow,20,Jackson,140,117
21890,Mint Mobile,MTower,583,Spotted Dove,79,Jefferson City,451,294
21891,Lyca Mobile,LTower,561,Bulbul,45,Helena,104,64
21892,Verizon,GTower,825,Kite,53,Lincoln,866,140
21893,T-Mobile,GTower,486,Sparrow,66,Carson City,416,263
21894,Lyca Mobile,MTower,754,Spotted Dove,45,Concord,183,226
21895,AT&T,LTower,716,Kite,60,Trenton,845,93
21896,Mint Mobile,MTower,756,Bulbul,60,Santa Fe,343,200
21897,Verizon,GTower,454,Sparrow,77,Albany,166,214
21898,Lyca Mobile,LTower,542,Bulbul,69,Raleigh,680,188
21899,T-Mobile,MTower,583,Kite,45,Bismarck,385,276
21900,AT&T,GTower,864,Spotted Dove,39,Columbus,562,128
21901,AT&T,LTower,534,Sparrow,64,Oklahoma City,444,272
21902,Mint Mobile,GTower,493,Sparrow,26,Salem,523,147
21903,Lyca Mobile,LTower,434,Bulbul,73,Harrisburg,487,178
21904,Verizon,MTower,615,Kite,68,Providence,528,293
21905,T-Mobile,LTower,899,Bulbul,54,Columbia,704,166
21906,Lyca Mobile,GTower,738,Sparrow,75,Pierre,658,292
21907,AT&T,GTower,611,Spotted Dove,49,Nashville,857,220
21908,Mint Mobile,MTower,554,Kite,58,Austin,606,222
21909,Verizon,LTower,438,Bulbul,57,Salt Lake City,584,228
21910,Lyca Mobile,MTower,355,Sparrow,38,Montpelier,506,116
21911,T-Mobile,GTower,551,Spotted Dove,50,Richmond,155,286
21912,AT&T,LTower,778,Bulbul,34,Olympia,463,80
21913,AT&T,MTower,872,Kite,30,Charleston,404,222
21914,Mint Mobile,GTower,333,Sparrow,45,Madison,345,115
21915,Lyca Mobile,LTower,764,Spotted Dove,53,Cheyenne,707,205
21916,Verizon,GTower,360,Kite,75,Alabama,385,175
21917,T-Mobile,LTower,575,Bulbul,62,Alaska,203,265
21918,Lyca Mobile,MTower,612,Sparrow,72,Arizona,438,106
21919,AT&T,LTower,781,Bulbul,40,Arkansas,615,275
21920,Mint Mobile,GTower,630,Kite,59,California,462,247
21921,Verizon,GTower,688,Spotted Dove,76,Colorado,610,212
21922,Lyca Mobile,MTower,385,Sparrow,22,Connecticut,563,167
21923,T-Mobile,LTower,384,Sparrow,28,Delaware,220,215
21924,AT&T,MTower,832,Bulbul,45,Florida,743,82
21925,AT&T,GTower,615,Kite,51,Georgia,860,103
21926,Mint Mobile,LTower,543,Bulbul,57,Hawaii,433,96
21927,Lyca Mobile,MTower,683,Sparrow,76,Idaho,624,159
21928,Verizon,GTower,763,Spotted Dove,72,Illinois,491,207
21929,T-Mobile,LTower,819,Kite,59,Indiana,248,273
21930,Lyca Mobile,GTower,483,Bulbul,78,Iowa,117,277
21931,AT&T,LTower,668,Sparrow,66,Kansas,488,280
21932,Mint Mobile,MTower,830,Spotted Dove,48,Kentucky,785,269
21933,Verizon,LTower,403,Bulbul,22,Louisiana,673,115
21934,Lyca Mobile,GTower,784,Kite,29,Maine,409,50
21935,T-Mobile,GTower,412,Sparrow,45,Maryland,363,234
21936,AT&T,MTower,335,Spotted Dove,72,Massachusetts,119,89
21937,AT&T,LTower,876,Kite,23,Michigan,683,239
21938,Mint Mobile,MTower,363,Bulbul,53,Minnesota,307,174
21939,Lyca Mobile,GTower,475,Sparrow,26,Mississippi,547,128
21940,Verizon,LTower,497,Bulbul,32,Missouri,819,86
21941,T-Mobile,MTower,312,Kite,62,Montana,421,90
21942,Lyca Mobile,GTower,593,Spotted Dove,53,Nebraska,569,110
21943,AT&T,LTower,755,Sparrow,56,Nevada,172,254
21944,Mint Mobile,GTower,558,Sparrow,49,New Hampshire,153,126
21945,Verizon,LTower,569,Bulbul,53,New Jersey,726,124
21946,Lyca Mobile,MTower,515,Kite,54,New Mexico,818,118
21947,T-Mobile,LTower,418,Bulbul,72,New York,805,112
21948,AT&T,GTower,459,Sparrow,34,North Carolina,654,140
21949,AT&T,GTower,613,Spotted Dove,20,North Dakota,122,205
21950,Mint Mobile,MTower,559,Kite,43,Ohio,228,143
21951,Lyca Mobile,LTower,494,Bulbul,48,Oklahoma,794,186
21952,Verizon,MTower,774,Sparrow,44,Vermont,856,153
21953,T-Mobile,GTower,687,Spotted Dove,39,Virginia,873,76
21954,Lyca Mobile,LTower,596,Bulbul,42,Washington,478,279
21955,AT&T,MTower,749,Kite,41,West Virginia,319,112
21956,Mint Mobile,GTower,886,Sparrow,75,Wisconsin,133,141
21957,Verizon,LTower,568,Spotted Dove,68,Wyoming,736,291
21958,Lyca Mobile,GTower,586,Kite,33,Montgomery,269,143
21959,T-Mobile,LTower,365,Bulbul,65,Juneau,539,202
21960,AT&T,MTower,572,Sparrow,67,Phoenix,733,68
21961,AT&T,LTower,581,Bulbul,75,Little Rock,876,132
21962,Mint Mobile,GTower,869,Kite,52,Sacramento,299,63
21963,Lyca Mobile,GTower,579,Spotted Dove,45,Denver,878,62
21964,Verizon,MTower,517,Sparrow,55,Hartford,413,242
21965,T-Mobile,LTower,663,Sparrow,40,Dover,266,154
21966,Lyca Mobile,MTower,803,Bulbul,47,Tallahassee,295,95
21967,AT&T,GTower,530,Kite,20,Atlanta,569,63
21968,Mint Mobile,LTower,791,Bulbul,36,Honolulu,849,191
21969,Verizon,MTower,494,Sparrow,50,Boise,274,251
21970,Lyca Mobile,GTower,723,Spotted Dove,30,Springfield,739,139
21971,T-Mobile,LTower,591,Kite,58,Indianapolis,408,209
21972,AT&T,GTower,409,Bulbul,53,Des Moines,614,248
21973,AT&T,LTower,751,Sparrow,44,Topeka,252,186
21974,Mint Mobile,MTower,779,Spotted Dove,58,Frankfort,339,159
21975,Lyca Mobile,LTower,594,Bulbul,77,Baton Rouge,619,91
21976,Verizon,GTower,653,Kite,64,Augusta,425,59
21977,T-Mobile,GTower,827,Sparrow,28,Annapolis,487,283
21978,Lyca Mobile,MTower,367,Spotted Dove,43,Boston,657,190
21979,AT&T,LTower,535,Kite,42,Lansing,205,93
21980,Mint Mobile,MTower,844,Bulbul,64,St. Paul,221,299
21981,Verizon,GTower,438,Sparrow,75,Jackson,852,265
21982,Lyca Mobile,LTower,635,Bulbul,30,Jefferson City,120,154
21983,T-Mobile,MTower,461,Kite,40,Helena,321,276
21984,AT&T,GTower,460,Spotted Dove,31,Lincoln,642,226
21985,AT&T,LTower,449,Sparrow,20,Carson City,134,142
21986,Mint Mobile,GTower,821,Sparrow,29,Concord,358,282
21987,Lyca Mobile,LTower,533,Bulbul,62,Trenton,317,264
21988,Verizon,MTower,630,Kite,72,Santa Fe,502,209
21989,T-Mobile,LTower,619,Bulbul,70,Albany,449,206
21990,Lyca Mobile,GTower,363,Sparrow,42,Raleigh,324,227
21991,AT&T,GTower,852,Spotted Dove,80,Bismarck,887,271
21992,Mint Mobile,MTower,576,Kite,39,Columbus,894,258
21993,Verizon,LTower,525,Bulbul,66,Oklahoma City,326,148
21994,Lyca Mobile,MTower,589,Sparrow,70,Salem,132,289
21995,T-Mobile,GTower,438,Spotted Dove,35,Harrisburg,393,190
21996,AT&T,LTower,554,Bulbul,75,Providence,787,268
21997,AT&T,MTower,899,Kite,39,Columbia,808,155
21998,Mint Mobile,GTower,530,Sparrow,63,Pierre,502,110
21999,Lyca Mobile,LTower,716,Spotted Dove,69,Nashville,188,180
22000,Verizon,GTower,474,Kite,66,Austin,723,217
22001,T-Mobile,LTower,527,Bulbul,58,Salt Lake City,193,89
22002,Lyca Mobile,MTower,628,Sparrow,78,Montpelier,315,59
22003,AT&T,LTower,875,Bulbul,41,Richmond,754,73
22004,Mint Mobile,GTower,882,Kite,65,Olympia,734,81
22005,Verizon,GTower,547,Spotted Dove,52,Charleston,494,232
22006,Lyca Mobile,MTower,417,Sparrow,36,Madison,693,226
22007,T-Mobile,LTower,405,Sparrow,26,Cheyenne,825,119
22008,AT&T,MTower,892,Bulbul,20,Alabama,101,67
22009,AT&T,GTower,327,Kite,73,Alaska,158,179
22010,Mint Mobile,LTower,718,Bulbul,20,Arizona,453,252
22011,Lyca Mobile,MTower,485,Sparrow,57,Arkansas,711,159
22012,Verizon,GTower,460,Spotted Dove,35,California,643,220
22013,T-Mobile,LTower,655,Kite,75,Colorado,750,195
22014,Lyca Mobile,GTower,552,Bulbul,57,Connecticut,535,250
22015,AT&T,LTower,534,Sparrow,43,Delaware,109,95
22016,Mint Mobile,MTower,339,Spotted Dove,31,Florida,796,271
22017,Verizon,LTower,730,Bulbul,31,Georgia,729,173
22018,Lyca Mobile,GTower,664,Kite,63,Hawaii,161,191
22019,T-Mobile,GTower,430,Sparrow,37,Idaho,503,275
22020,AT&T,MTower,649,Spotted Dove,29,Illinois,426,110
22021,AT&T,LTower,474,Kite,63,Indiana,243,269
22022,Mint Mobile,MTower,831,Bulbul,60,Iowa,527,161
22023,Lyca Mobile,GTower,373,Sparrow,72,Kansas,881,115
22024,Verizon,LTower,600,Bulbul,80,Kentucky,602,186
22025,T-Mobile,MTower,621,Kite,23,Louisiana,865,298
22026,Lyca Mobile,GTower,884,Spotted Dove,55,Maine,415,219
22027,AT&T,LTower,427,Sparrow,34,Maryland,398,222
22028,Mint Mobile,GTower,653,Sparrow,59,Massachusetts,176,266
22029,Verizon,LTower,357,Bulbul,76,Michigan,780,107
22030,Lyca Mobile,MTower,711,Kite,42,Minnesota,482,117
22031,T-Mobile,LTower,514,Bulbul,36,Mississippi,812,206
22032,AT&T,GTower,387,Sparrow,20,Missouri,618,122
22033,AT&T,GTower,410,Spotted Dove,58,Montana,282,181
22034,Mint Mobile,MTower,352,Kite,53,Nebraska,473,149
22035,Lyca Mobile,LTower,531,Bulbul,60,Nevada,348,256
22036,Verizon,MTower,415,Sparrow,63,New Hampshire,409,253
22037,T-Mobile,GTower,840,Spotted Dove,37,New Jersey,108,207
22038,Lyca Mobile,LTower,772,Bulbul,24,New Mexico,302,94
22039,AT&T,MTower,708,Kite,25,New York,663,179
22040,Mint Mobile,GTower,768,Sparrow,73,North Carolina,211,232
22041,Verizon,LTower,731,Spotted Dove,73,North Dakota,506,142
22042,Lyca Mobile,GTower,575,Kite,54,Ohio,382,113
22043,T-Mobile,LTower,381,Bulbul,65,Oklahoma,314,248
22044,AT&T,MTower,782,Sparrow,22,Oregon,449,277
22045,AT&T,LTower,324,Bulbul,63,Pennsylvania,341,58
22046,Mint Mobile,GTower,450,Kite,77,Rhode Island,795,236
22047,Lyca Mobile,GTower,462,Spotted Dove,80,South Carolina,595,59
22048,Verizon,MTower,884,Sparrow,48,South Dakota,486,245
22049,T-Mobile,LTower,443,Sparrow,29,Tennessee,214,159
22050,Lyca Mobile,MTower,396,Bulbul,24,Texas,788,241
22051,AT&T,GTower,717,Kite,52,Utah,531,291
22052,Mint Mobile,LTower,893,Bulbul,62,Vermont,599,72
22053,Verizon,MTower,638,Sparrow,20,Virginia,672,174
22054,Lyca Mobile,GTower,683,Spotted Dove,50,Washington,745,168
22055,T-Mobile,LTower,815,Kite,47,West Virginia,169,222
22056,AT&T,GTower,603,Bulbul,46,Wisconsin,479,212
22057,AT&T,LTower,575,Sparrow,51,Wyoming,819,277
22058,Mint Mobile,MTower,364,Spotted Dove,46,Montgomery,106,68
22059,Lyca Mobile,LTower,402,Bulbul,44,Juneau,679,179
22060,Verizon,GTower,794,Kite,45,Phoenix,359,244
22061,T-Mobile,GTower,364,Sparrow,68,Little Rock,651,175
22062,Lyca Mobile,MTower,528,Spotted Dove,27,Sacramento,333,77
22063,AT&T,LTower,620,Kite,69,Denver,199,56
22064,Mint Mobile,MTower,787,Bulbul,29,Hartford,116,172
22065,Verizon,GTower,310,Sparrow,34,Dover,589,181
22066,Lyca Mobile,LTower,724,Bulbul,50,Tallahassee,761,254
22067,T-Mobile,MTower,583,Kite,47,Atlanta,270,272
22068,AT&T,GTower,737,Spotted Dove,66,Honolulu,312,199
22069,AT&T,LTower,625,Sparrow,60,Boise,426,151
22070,Mint Mobile,GTower,859,Sparrow,52,Springfield,614,183
22071,Lyca Mobile,LTower,757,Bulbul,38,Indianapolis,280,283
22072,Verizon,MTower,477,Kite,75,Des Moines,121,148
22073,T-Mobile,LTower,429,Bulbul,76,Topeka,355,211
22074,Lyca Mobile,GTower,781,Sparrow,67,Frankfort,286,90
22075,AT&T,GTower,356,Spotted Dove,44,Baton Rouge,810,88
22076,Mint Mobile,MTower,831,Kite,40,Augusta,185,213
22077,Verizon,LTower,671,Bulbul,48,Annapolis,153,298
